"Especie","Cobertura","Codigo","Idoneidad","Familia","f_edit","f_new","f_delete"
"Chrysocyon brachyurus","Shrubs",20,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Herbaceous vegetation",30,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Urban / built up ",50,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Bare / sparse vegetation",60,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Permanent water bodies ",80,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Herbaceous wetland",90,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Closed forest",111,NA,"Canidae",FALSE,FALSE,FALSE
"Chrysocyon brachyurus","Open forest",126,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Shrubs",20,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Herbaceous vegetation",30,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Permanent water bodies ",80,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Herbaceous wetland",90,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Closed forest",111,NA,"Canidae",FALSE,FALSE,FALSE
"Speothos venaticus","Open forest",126,NA,"Canidae",FALSE,FALSE,FALSE
"Leopardus colocolo","No input data available ",0,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Snow and Ice",70,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo","Open sea",200,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus colocolo",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Snow and Ice",70,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guigna",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus guttulus",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","No input data available ",0,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Snow and Ice",70,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus jacobita",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus pardalis",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus tigrinus","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Leopardus wiedii",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Shrubs",20,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Herbaceous vegetation",30,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Urban / built up ",50,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Bare / sparse vegetation",60,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Permanent water bodies ",80,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Herbaceous wetland",90,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Closed forest",111,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca","Open forest",126,NA,"Felidae",FALSE,FALSE,FALSE
"Panthera onca",NA,NA,NA,"Felidae",FALSE,FALSE,FALSE
"Eira barbara","Shrubs",20,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Herbaceous vegetation",30,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Urban / built up ",50,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Bare / sparse vegetation",60,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Permanent water bodies ",80,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Herbaceous wetland",90,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Closed forest",111,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara","Open forest",126,NA,"Mustelidae",FALSE,FALSE,FALSE
"Eira barbara",NA,NA,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Shrubs",20,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Herbaceous vegetation",30,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Urban / built up ",50,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Bare / sparse vegetation",60,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Permanent water bodies ",80,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Herbaceous wetland",90,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Closed forest",111,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Open forest",126,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis","Open sea",200,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra longicaudis",NA,NA,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Shrubs",20,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Herbaceous vegetation",30,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Urban / built up ",50,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Bare / sparse vegetation",60,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Snow and Ice",70,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Permanent water bodies ",80,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Herbaceous wetland",90,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Closed forest",111,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Open forest",126,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lontra provocax","Open sea",200,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Shrubs",20,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Herbaceous vegetation",30,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Urban / built up ",50,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Bare / sparse vegetation",60,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Snow and Ice",70,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Permanent water bodies ",80,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Herbaceous wetland",90,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Closed forest",111,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Open forest",126,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus","Open sea",200,NA,"Mustelidae",FALSE,FALSE,FALSE
"Lyncodon patagonicus",NA,NA,NA,"Mustelidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Shrubs",20,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Herbaceous vegetation",30,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Urban / built up ",50,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Bare / sparse vegetation",60,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Permanent water bodies ",80,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Herbaceous wetland",90,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Closed forest",111,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Open forest",126,NA,"Cervidae",FALSE,FALSE,FALSE
"Blastocerus dichotomus","Open sea",200,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Shrubs",20,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Herbaceous vegetation",30,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Urban / built up ",50,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Bare / sparse vegetation",60,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Permanent water bodies ",80,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Herbaceous wetland",90,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Closed forest",111,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus antisensis","Open forest",126,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Shrubs",20,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Herbaceous vegetation",30,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Urban / built up ",50,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Bare / sparse vegetation",60,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Snow and Ice",70,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Permanent water bodies ",80,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Herbaceous wetland",90,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Closed forest",111,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus","Open forest",126,NA,"Cervidae",FALSE,FALSE,FALSE
"Hippocamelus bisulcus",NA,NA,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Shrubs",20,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Herbaceous vegetation",30,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Cultivated and managed vegetation/agriculture (cropland)",40,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Urban / built up ",50,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Bare / sparse vegetation",60,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Permanent water bodies ",80,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Herbaceous wetland",90,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Closed forest",111,NA,"Cervidae",FALSE,FALSE,FALSE
"Mazama americana","Open forest",126,NA,"Cervidae",FALSE,FALSE,FALSE
