"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"1","Abrawayaomys ruschii","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","",""
"2","Abrocoma budini","Puna; Monte de Sierras y Bolsones","","rupestre","","MUY BAJA","2000","3000"
"3","Abrocoma cinerea","Altos Andes; Puna; Monte de Sierras y Bolsones","","arbustales; rupestre","estepas","MUY BAJA","500","3700"
"4","Abrocoma famatina","Altos Andes; Puna","","rupestre","estepas","DESCONOCIDA","","3800"
"5","Abrocoma schistacea","Altos Andes; Monte de Sierras y Bolsones","","rupestre","","MUY BAJA","2100","2900"
"6","Abrocoma uspallata","Monte de Sierras y Bolsones","","rupestre","","MUY BAJA","1800","2000"
"7","Abrocoma vaccarum","Altos Andes","","pastizales; rupestre","","DESCONOCIDA","3000","3000"
"8","Abrothrix andina","Altos Andes; Puna","","pastizales","arbustales; rupestre","DESCONOCIDA","950","5000"
"9","Abrothrix hirta","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales","pastizales; rupestre; estepas; forestaciones; pasturas ganaderas","DESCONOCIDA","0","3500"
"10","Abrothrix illutea","Yungas","","selvas o bosques","arbustales","DESCONOCIDA","650","3000"
"11","Abrothrix jelskii","Altos Andes","","estepas","pastizales","DESCONOCIDA","4200","4500"
"12","Abrothrix lanosa","Bosque Patagónico; Estepa Patagónica","","arbustales","selvas o bosques; pastizales","DESCONOCIDA","",""
"13","Abrothrix manni","Bosque Patagónico","","selvas o bosques","","DESCONOCIDA","0","820"
"14","Abrothrix olivacea","Altos Andes; Bosque Patagónico; Estepa Patagónica","Monte de Llanuras y Mesetas","selvas o bosques; arbustales; pastizales; estepas","rupestre; forestaciones; pasturas ganaderas","ALTA","0","2000"
"15","Abrothrix xanthorhina","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales","estepas","DESCONOCIDA","",""
"16","Aconaemys fuscus","Altos Andes; Bosque Patagónico","","selvas o bosques; estepas","","DESCONOCIDA","",""
"17","Aconaemys porteri","Bosque Patagónico","","","","DESCONOCIDA","750","1000"
"18","Aconaemys sagei","Bosque Patagónico","","selvas o bosques; pastizales","","DESCONOCIDA","",""
"19","Akodon albiventer","Altos Andes; Puna; Monte de Sierras y Bolsones","","pastizales; rupestre; estepas","urbano o periurbano","MEDIA","2350","4500"
"20","Akodon azarae","Monte de Llanuras y Mesetas; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","","arbustales; pastizales; cultivos o agrícolas; pasturas ganaderas","selvas o bosques; urbano o periurbano","MEDIA","0","600"
"21","Akodon boliviensis","Altos Andes; Puna; Yungas","","estepas","pastizales","DESCONOCIDA","2400","4300"
"22","Akodon budini","Yungas","","selvas o bosques","arbustales","DESCONOCIDA","1100","2800"
"23","Akodon caenosus","Altos Andes; Yungas; Chaco Seco","","selvas o bosques","pastizales","DESCONOCIDA","400","3100"
"24","Akodon dolores","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Pampa","","arbustales","pastizales; rupestre; cultivos o agrícolas","BAJA","0","1000"
"25","Akodon fumeus","Yungas","","selvas o bosques; pastizales","","DESCONOCIDA","450","1700"
"26","Akodon iniscatus","Monte de Llanuras y Mesetas; Espinal; Estepa Patagónica","","arbustales; pastizales; estepas","pasturas ganaderas","DESCONOCIDA","900","1000"
"27","Akodon montensis","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales; pastizales; cultivos o agrícolas; forestaciones; urbano o periurbano","ALTA","800","2100"
"28","Akodon paranaensis","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","",""
"29","Akodon philipmyersi","Campos y Malezales","","arbustales","cultivos o agrícolas","MEDIA","100","250"
"30","Akodon polopi","Chaco Seco","","pastizales","","DESCONOCIDA","1300","2250"
"31","Akodon simulator","Yungas; Monte de Sierras y Bolsones; Chaco Seco","","selvas o bosques","arbustales","DESCONOCIDA","400","3000"
"32","Akodon spegazzinii","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Chaco Seco","","selvas o bosques","pastizales","DESCONOCIDA","400","3800"
